match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,team_1_formation,team_2_formation,bet_1,bet_x,bet_2,red_cards_1,red_cards_2,month,day_of_week,shots_1,shots_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
zgVb46EG,2021-05-22 17:00:00,Tipico Bundesliga,32.0,RB Salzburg,Tirol,4.0,0.0,1.0,62,38,17.0,11.0,7.0,2.0,8.0,2.0,0.0,3.0,2.0,3.0,10.0,12.0,122.0,88.0,55.0,39.0,4 - 3 - 3,4 - 4 - 2,1.13,9.62,17.45,0.0,0.0,5,5,15.0,4.0,7.1,6.1,6.8,5.8,7.4,6.5,6.9,6.3,7.7,5.3,8.3,5.9,8.5,5.9,7.7,6.2,7.6,5.8,9.4,6.6,7.3,5.7
IHK33QTM,2021-05-22 17:00:00,Tipico Bundesliga,32.0,Rapid Wiedeń,LASK,3.0,0.0,1.0,51,49,9.0,10.0,5.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,16.0,13.0,0.0,123.0,0.0,60.0,3 - 4 - 1 - 2,3 - 4 - 2 - 1,2.38,3.85,2.68,0.0,0.0,5,5,7.0,6.0,7.2,5.9,7.5,6.3,7.6,7.3,7.4,6.5,7.4,6.3,7.1,6.9,7.0,6.7,7.4,7.3,7.3,6.5,6.7,6.0,8.1,6.5
d8J72pqT,2021-05-22 17:00:00,Tipico Bundesliga,32.0,Wolfsberger,Sturm Graz,1.0,3.0,2.0,33,67,5.0,24.0,2.0,9.0,3.0,9.0,0.0,2.0,6.0,1.0,18.0,8.0,131.0,93.0,56.0,42.0,4 - 3 - 1 - 2,4 - 3 - 1 - 2,3.3,4.0,2.0,1.0,0.0,5,5,5.0,18.0,7.9,6.4,6.4,8.0,6.4,6.4,6.6,7.6,6.0,7.1,6.3,7.0,6.4,7.6,6.0,7.5,6.6,8.2,4.6,8.6,7.3,6.6
b9JAgq1i,2021-05-21 19:00:00,Tipico Bundesliga,32.0,Admira,Altach,1.0,1.0,0.0,34,66,9.0,17.0,4.0,4.0,3.0,9.0,1.0,2.0,3.0,3.0,10.0,4.0,95.0,122.0,35.0,43.0,5 - 4 - 1,5 - 3 - 2,6.62,4.7,1.44,0.0,0.0,5,4,7.0,13.0,7.0,6.0,6.7,6.9,6.9,7.7,7.0,7.4,7.3,6.7,7.9,7.9,6.1,6.7,7.3,6.9,6.8,6.8,7.0,6.7,7.0,5.6
p6VSUaOj,2021-05-21 19:00:00,Tipico Bundesliga,32.0,Ried,Austria Wiedeń,3.0,2.0,1.0,60,40,14.0,11.0,4.0,4.0,6.0,6.0,1.0,2.0,2.0,1.0,11.0,12.0,104.0,94.0,54.0,40.0,3 - 4 - 2 - 1,4 - 2 - 3 - 1,3.05,3.6,2.24,0.0,0.0,5,4,10.0,10.0,6.6,5.0,6.9,5.9,6.9,7.0,6.9,6.2,6.7,6.0,6.7,6.2,7.6,6.4,7.0,6.6,8.4,8.0,7.6,8.0,7.8,7.4
W2ROVu9p,2021-05-21 19:00:00,Tipico Bundesliga,32.0,St. Polten,Hartberg,0.0,1.0,2.0,53,47,15.0,10.0,2.0,2.0,10.0,4.0,1.0,2.0,1.0,2.0,13.0,10.0,100.0,93.0,37.0,47.0,3 - 4 - 3,4 - 2 - 3 - 1,2.93,3.8,2.23,0.0,1.0,5,4,12.0,6.0,6.1,6.9,7.1,7.2,7.7,6.9,7.0,7.5,6.7,7.5,6.1,7.2,7.3,5.6,6.7,7.9,7.3,7.1,6.5,7.4,6.2,7.3
lxTn78Uc,2021-05-16 17:00:00,Tipico Bundesliga,31.0,LASK,RB Salzburg,2.0,5.0,2.0,52,48,16.0,12.0,4.0,8.0,7.0,3.0,2.0,2.0,3.0,2.0,13.0,11.0,130.0,134.0,67.0,57.0,3 - 4 - 3,4 - 2 - 2 - 2,2.88,3.7,2.3,0.0,1.0,5,6,11.0,11.0,5.5,6.7,6.3,5.9,6.7,6.9,5.9,7.7,6.5,6.8,6.7,5.8,6.0,7.4,6.4,8.6,7.5,8.3,6.4,7.6,7.1,9.1
SSRj6Sq4,2021-05-16 17:00:00,Tipico Bundesliga,31.0,Sturm Graz,Rapid Wiedeń,4.0,1.0,1.0,51,49,20.0,10.0,8.0,3.0,9.0,5.0,1.0,5.0,2.0,4.0,13.0,15.0,114.0,0.0,53.0,0.0,4 - 3 - 1 - 2,4 - 2 - 3 - 1,2.99,3.84,2.18,0.0,0.0,5,6,17.0,8.0,6.5,6.0,7.0,6.4,7.1,6.0,7.1,6.1,6.9,5.9,6.7,6.7,8.6,6.4,7.5,7.0,8.6,5.9,7.6,6.4,7.5,7.7
MkRf5naA,2021-05-16 17:00:00,Tipico Bundesliga,31.0,Tirol,Wolfsberger,2.0,2.0,0.0,44,56,16.0,16.0,9.0,8.0,5.0,6.0,1.0,1.0,6.0,7.0,8.0,10.0,93.0,108.0,39.0,40.0,4 - 4 - 2,4 - 3 - 1 - 2,3.0,3.77,2.2,0.0,1.0,5,6,14.0,14.0,6.8,8.4,7.1,6.5,6.8,4.6,7.2,6.8,7.1,6.7,7.7,7.1,6.8,6.9,7.6,7.1,7.4,7.6,7.6,7.2,6.9,8.4
j5Dfm8vI,2021-05-15 17:00:00,Tipico Bundesliga,31.0,Altach,Ried,3.0,0.0,1.0,58,42,16.0,8.0,6.0,1.0,8.0,5.0,3.0,2.0,1.0,3.0,11.0,14.0,112.0,89.0,39.0,34.0,5 - 4 - 1,3 - 4 - 3,2.02,3.6,3.55,0.0,1.0,5,5,14.0,6.0,6.7,6.0,7.4,6.0,7.4,4.4,7.1,7.0,7.7,6.3,7.4,6.0,7.5,6.3,6.9,6.2,6.6,6.8,9.2,6.0,7.0,6.3
CEEjllPB,2021-05-15 17:00:00,Tipico Bundesliga,31.0,Austria Wiedeń,St. Polten,2.0,1.0,1.0,54,46,12.0,10.0,5.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,14.0,12.0,99.0,93.0,38.0,30.0,4 - 4 - 2,3 - 4 - 3,1.66,4.07,4.88,0.0,0.0,5,5,8.0,5.0,6.6,5.8,6.8,7.9,7.3,5.9,7.6,7.0,6.7,6.8,6.8,6.5,7.2,6.7,6.6,6.3,7.8,6.6,6.7,6.6,6.5,6.9
4lFnkU95,2021-05-15 17:00:00,Tipico Bundesliga,31.0,Hartberg,Admira,2.0,0.0,1.0,50,50,11.0,5.0,4.0,0.0,3.0,4.0,1.0,2.0,0.0,2.0,19.0,15.0,100.0,100.0,53.0,37.0,4 - 2 - 3 - 1,3 - 4 - 3,2.39,3.33,3.01,0.0,0.0,5,5,7.0,4.0,6.6,5.7,7.4,6.5,7.0,6.8,7.0,6.1,7.5,6.0,7.0,6.6,7.0,6.5,7.1,6.5,8.0,6.6,7.6,6.2,7.7,6.9
