match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,red_cards_1,red_cards_2,bet_1,bet_x,bet_2,team_1_formation,team_2_formation,month,day_of_week,shots_1,shots_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
UZSCFVHe,2022-05-21 17:00:00,Tipico Bundesliga,32.0,Austria Wiedeń,Sturm Graz,4.0,2.0,1.0,47,53,11.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,7.0,9.0,102.0,102.0,59.0,50.5,0.0,0.0,1.94,3.7,3.75,4 - 2 - 3 - 1,4 - 3 - 1 - 2,5,5,6.0,4.0,6.2,5.0,6.9,6.2,7.0,5.9,6.9,6.1,7.9,6.8,7.5,6.8,8.1,5.8,6.9,5.8,6.6,7.5,7.6,6.1,6.4,6.5
Y7Z3Himq,2022-05-21 17:00:00,Tipico Bundesliga,32.0,RB Salzburg,A. Klagenfurt,1.0,1.0,0.0,68,32,23.0,9.0,9.0,3.0,7.0,4.0,1.0,1.0,2.0,8.0,7.0,9.0,144.0,0.0,73.0,0.0,0.0,0.0,1.09,11.0,23.0,4 - 3 - 1 - 2,4 - 3 - 3,5,5,16.0,7.0,6.7,8.0,7.7,7.4,7.6,7.7,7.5,7.3,7.1,7.2,6.9,7.2,7.3,6.7,7.9,7.5,7.4,6.8,6.5,7.1,7.3,6.8
CbY7GB2k,2022-05-21 17:00:00,Tipico Bundesliga,32.0,Wolfsberger,Rapid Wiedeń,2.0,1.0,1.0,47,53,8.0,20.0,5.0,7.0,3.0,9.0,2.0,2.0,6.0,3.0,12.0,17.0,104.0,0.0,47.0,0.0,0.0,0.0,2.28,3.7,2.95,4 - 3 - 1 - 2,4 - 2 - 3 - 1,5,5,8.0,16.0,7.9,6.4,6.2,6.8,7.3,7.1,7.1,6.6,7.0,6.0,6.7,7.1,6.9,7.1,7.0,7.8,7.9,6.7,7.0,7.7,7.2,6.2
fH67h5F6,2022-05-20 19:00:00,Tipico Bundesliga,32.0,Altach,Tirol,2.0,1.0,1.0,37,63,10.0,14.0,3.0,3.0,5.0,6.0,3.0,1.0,2.0,1.0,13.0,11.0,96.0,99.0,42.0,39.0,1.0,0.0,1.63,4.3,4.7,5 - 3 - 2,4 - 4 - 1 - 1,5,4,8.0,9.0,6.8,5.8,7.6,6.8,7.0,6.5,7.0,6.2,6.4,6.5,6.9,6.5,6.7,6.3,6.9,6.6,6.6,6.7,6.9,6.1,7.1,6.3
2s6BiPUC,2022-05-20 19:00:00,Tipico Bundesliga,32.0,Hartberg,Ried,1.0,1.0,0.0,35,65,13.0,11.0,6.0,3.0,5.0,5.0,3.0,1.0,2.0,5.0,10.0,8.0,98.0,97.0,45.0,36.0,0.0,0.0,2.8,2.3,3.2,4 - 3 - 1 - 2,4 - 4 - 2,5,4,11.0,8.0,6.8,7.4,6.8,7.5,7.0,7.0,6.8,7.1,6.6,7.6,6.9,6.8,6.5,6.8,6.7,6.7,7.3,6.8,7.3,6.6,7.0,7.1
GQ73go00,2022-05-20 19:00:00,Tipico Bundesliga,32.0,LASK,Admira,3.0,1.0,1.0,68,32,18.0,9.0,8.0,3.0,5.0,4.0,2.0,6.0,2.0,5.0,17.0,12.0,117.0,89.0,58.0,41.0,0.0,0.0,1.57,4.3,5.2,4 - 2 - 3 - 1,4 - 2 - 3 - 1,5,4,13.0,7.0,7.1,6.4,6.5,6.7,7.3,5.6,6.7,5.6,8.4,6.5,7.1,6.3,7.3,6.2,8.0,5.9,7.6,6.1,7.7,7.2,8.8,5.9
2PrYMDPL,2022-05-15 17:00:00,Tipico Bundesliga,31.0,A. Klagenfurt,Austria Wiedeń,1.0,2.0,2.0,46,54,13.0,8.0,6.0,2.0,6.0,4.0,4.0,5.0,0.0,5.0,10.0,10.0,0.0,102.0,0.0,41.0,0.0,0.0,3.85,3.8,1.9,4 - 3 - 3,4 - 2 - 3 - 1,5,6,12.0,6.0,5.6,7.5,6.7,6.7,7.2,7.6,6.3,7.1,6.7,7.3,7.6,7.2,6.5,7.5,7.1,6.8,6.5,7.0,5.7,7.5,7.0,7.6
GSnxMXvS,2022-05-15 17:00:00,Tipico Bundesliga,31.0,Rapid Wiedeń,RB Salzburg,0.0,1.0,2.0,39,61,15.0,14.0,4.0,4.0,9.0,6.0,1.0,6.0,3.0,4.0,17.0,11.0,0.0,130.0,0.0,64.0,0.0,0.0,5.8,4.7,1.51,3 - 4 - 2 - 1,3 - 4 - 1 - 2,5,6,13.0,10.0,6.7,7.9,6.2,6.8,6.5,7.6,6.9,7.3,6.5,7.4,6.5,7.2,6.6,7.4,6.5,7.0,5.9,8.0,6.6,6.3,6.5,7.8
K0gTNgAF,2022-05-15 17:00:00,Tipico Bundesliga,31.0,Sturm Graz,Wolfsberger,1.0,4.0,2.0,60,40,7.0,11.0,2.0,4.0,3.0,1.0,5.0,5.0,0.0,2.0,10.0,16.0,130.0,110.0,55.5,50.0,0.0,0.0,2.08,3.65,3.35,4 - 3 - 1 - 2,4 - 3 - 1 - 2,5,6,5.0,5.0,5.0,6.7,5.0,7.4,6.1,8.2,6.2,7.5,5.9,6.5,7.4,7.9,6.9,7.2,6.2,6.4,6.5,7.8,6.7,6.6,6.4,7.4
KbEfe7Vm,2022-05-14 17:00:00,Tipico Bundesliga,31.0,Admira,Altach,0.0,3.0,2.0,48,52,12.0,12.0,5.0,5.0,6.0,6.0,1.0,1.0,2.0,5.0,7.0,26.0,97.0,90.0,43.0,37.0,0.0,0.0,2.1,3.25,3.65,4 - 2 - 3 - 1,5 - 3 - 2,5,5,11.0,11.0,5.7,8.1,7.1,6.7,6.6,7.4,6.7,7.5,6.4,6.5,6.4,7.4,6.1,6.2,6.5,7.1,6.1,7.5,7.6,6.7,6.3,8.9
QyFjdmGs,2022-05-14 17:00:00,Tipico Bundesliga,31.0,Ried,LASK,1.0,1.0,0.0,43,57,11.0,10.0,7.0,3.0,4.0,4.0,1.0,0.0,2.0,6.0,12.0,13.0,73.0,126.0,31.5,65.0,0.0,0.0,3.8,3.6,1.9,4 - 4 - 2,3 - 4 - 3,5,5,11.0,7.0,6.6,7.6,7.1,6.5,7.2,6.8,6.9,7.7,7.0,7.3,7.4,6.7,6.5,6.8,7.3,7.2,7.1,7.8,6.6,6.8,7.0,6.8
