match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,red_cards_1,red_cards_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,bet_1x,bet_12,bet_x2,team_1_formation,team_2_formation,bet_1,bet_x,bet_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
2wpgTrMC,03.06.2023 17:00,Tipico Bundesliga,32.0,A. Klagenfurt,Rapid Wiedeń,2.0,1.0,1.0,48,52,9.0,9.0,3.0,5.0,6.0,2.0,2.0,5.0,4.0,2.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,1.25,1.24,4 - 2 - 3 - 1,4 - 2 - 3 - 1,4.1,3.95,1.8,7.2,6.1,7.2,6.8,7.5,6.6,7.2,6.5,6.8,6.5,6.8,6.8,7.9,6.6,8.8,6.7,7.5,6.1,6.3,6.9,7.2,6.3
tOepV4i0,03.06.2023 17:00,Tipico Bundesliga,32.0,Austria Wiedeń,RB Salzburg,1.0,1.0,0.0,52,48,15.0,4.0,7.0,2.0,3.0,1.0,1.0,7.0,1.0,6.0,14.0,17.0,0.0,0.0,105.0,109.0,44.0,54.0,1.84,1.26,1.31,3 - 4 - 1 - 2,4 - 3 - 1 - 2,3.5,3.9,1.97,6.3,7.8,7.0,6.6,7.1,7.3,6.7,7.1,6.5,7.8,7.5,7.1,6.6,6.7,6.8,7.0,6.5,6.8,7.1,6.7,8.1,6.9
KEflUO66,03.06.2023 17:00,Tipico Bundesliga,32.0,Sturm Graz,LASK,2.0,0.0,1.0,39,61,13.0,8.0,4.0,1.0,6.0,3.0,1.0,0.0,1.0,2.0,17.0,7.0,0.0,0.0,115.0,94.0,51.0,41.0,1.23,1.23,2.12,4 - 3 - 1 - 2,4 - 2 - 3 - 1,1.73,4.3,4.2,7.0,6.2,7.6,7.1,7.1,6.7,7.4,6.6,7.6,6.7,7.1,7.1,7.3,6.7,8.1,6.5,7.0,7.1,7.7,6.4,6.7,6.3
ALtxbfR3,02.06.2023 19:30,Tipico Bundesliga,32.0,A. Lustenau,Hartberg,5.0,1.0,1.0,61,39,17.0,10.0,11.0,3.0,5.0,3.0,3.0,5.0,2.0,6.0,4.0,8.0,0.0,1.0,74.0,93.5,33.0,33.0,1.84,1.28,1.31,4 - 2 - 3 - 1,4 - 2 - 3 - 1,3.55,3.8,2.0,6.9,6.4,8.0,5.2,8.2,5.6,7.1,5.5,8.5,3.8,7.1,6.2,7.1,6.4,7.5,6.0,7.7,6.7,8.1,6.9,8.5,6.0
OOptcEtA,02.06.2023 19:30,Tipico Bundesliga,32.0,Ried,Wolfsberger,1.0,2.0,2.0,39,61,24.0,20.0,7.0,7.0,11.0,9.0,1.0,2.0,5.0,6.0,13.0,7.0,0.0,0.0,92.0,97.0,31.0,43.0,1.63,1.29,1.41,3 - 4 - 2 - 1,3 - 4 - 2 - 1,2.95,3.65,2.3,6.7,7.9,6.8,7.4,6.7,7.6,6.6,7.5,7.2,8.0,6.5,7.1,5.6,6.9,6.3,7.6,7.3,6.6,6.8,7.3,7.0,8.0
IoppdYeG,02.06.2023 19:30,Tipico Bundesliga,32.0,Tirol,Altach,1.0,1.0,0.0,55,45,7.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,2.0,11.0,12.0,0.0,0.0,107.5,94.5,49.5,31.0,1.3,1.25,1.9,4 - 3 - 3,4 - 5 - 1,1.92,4.0,3.6,6.2,6.7,6.8,6.3,6.8,7.5,6.6,6.5,7.0,7.3,7.4,6.6,7.0,6.6,6.7,6.6,7.3,7.0,7.2,6.4,7.2,7.3
ClitWpxf,28.05.2023 17:00,Tipico Bundesliga,31.0,LASK,Austria Wiedeń,3.0,1.0,1.0,54,46,15.0,12.0,9.0,2.0,3.0,5.0,1.0,3.0,1.0,6.0,15.0,13.0,0.0,0.0,107.0,98.0,55.0,42.5,1.38,1.27,1.68,4 - 2 - 3 - 1,3 - 4 - 3,2.18,3.75,3.05,6.5,7.0,6.5,6.6,7.6,6.3,7.4,7.0,6.9,6.9,6.8,6.0,7.9,6.1,7.4,6.2,7.4,6.5,8.2,7.3,7.3,8.1
YchxXQMm,28.05.2023 17:00,Tipico Bundesliga,31.0,RB Salzburg,A. Klagenfurt,3.0,2.0,1.0,57,43,11.0,12.0,5.0,3.0,5.0,5.0,4.0,1.0,1.0,2.0,11.0,12.0,0.0,0.0,127.0,0.0,65.0,0.0,1.02,1.09,4.93,4 - 3 - 1 - 2,4 - 3 - 1 - 2,1.18,7.6,14.0,5.7,5.7,6.9,6.5,7.3,6.2,7.7,6.1,6.7,6.1,6.6,6.0,6.9,6.7,7.1,7.1,6.1,8.1,7.2,6.6,8.2,6.4
jZ2XX67s,28.05.2023 17:00,Tipico Bundesliga,31.0,Rapid Wiedeń,Sturm Graz,3.0,2.0,1.0,51,49,12.0,13.0,4.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,17.0,20.0,0.0,0.0,0.0,101.0,0.0,47.0,1.78,1.28,1.33,4 - 2 - 3 - 1,4 - 3 - 1 - 2,3.4,3.75,2.05,6.6,5.5,6.9,6.5,7.4,6.1,7.3,6.1,7.1,6.2,6.8,5.9,7.2,6.8,6.7,6.2,8.0,7.7,9.0,7.2,7.7,5.6
SdiXbzCc,27.05.2023 17:00,Tipico Bundesliga,31.0,Altach,A. Lustenau,1.0,1.0,0.0,38,62,12.0,6.0,4.0,3.0,5.0,1.0,0.0,3.0,2.0,3.0,13.0,4.0,0.0,0.0,100.0,92.5,38.0,41.0,1.46,1.34,1.51,4 - 3 - 3,3 - 5 - 2,2.6,3.35,2.75,6.7,6.9,7.5,7.4,6.7,6.6,7.3,7.0,7.2,6.9,6.7,7.2,6.6,7.2,7.1,6.9,6.7,7.4,6.6,7.8,7.7,6.8
