league,team_1,team_2,bet_1,bet_x,bet_2,goals_team_1,goals_team_2,1_player_1,3_player_1,1_shots_off_target,3_shots_off_target,1_total_wins,3_total_wins,1_player_2,3_player_2,1_total_goals_conceded,3_total_goals_conceded,1_possession,3_possession,1_draws_last_5,3_draws_last_5,1_formation,3_formation,1_fouls,3_fouls,1_total_goals_scored,3_total_goals_scored,1_dangerous_attacks,3_dangerous_attacks,1_avg_goals_last_5,3_avg_goals_last_5,1_goalkeeper_saves,3_goalkeeper_saves,1_player_6,3_player_6,1_player_9,3_player_9,1_player_3_last_5_avg,3_player_3_last_5_avg,1_player_5,3_player_5,1_offsides,3_offsides,1_attacks,3_attacks,1_player_10,3_player_10,1_player_6_last_5_avg,3_player_6_last_5_avg,1_losses_last_5,3_losses_last_5,1_player_10_last_5_avg,3_player_10_last_5_avg,1_player_5_last_5_avg,3_player_5_last_5_avg,1_goals,3_goals,1_player_8_last_5_avg,3_player_8_last_5_avg,1_ranking,3_ranking,1_wins_last_5,3_wins_last_5,1_player_3,3_player_3,1_player_9_last_5_avg,3_player_9_last_5_avg,1_player_1_last_5_avg,3_player_1_last_5_avg,1_player_4,3_player_4,1_player_4_last_5_avg,3_player_4_last_5_avg,1_player_2_last_5_avg,3_player_2_last_5_avg,1_player_0_last_5_avg,3_player_0_last_5_avg,1_goal_chances,3_goal_chances,1_total_points,3_total_points,1_player_7_last_5_avg,3_player_7_last_5_avg,1_shots_on_target,3_shots_on_target,1_player_0,3_player_0,1_player_8,3_player_8,1_total_draws,3_total_draws,1_red_cards,3_red_cards,1_total_losses,3_total_losses,1_player_7,3_player_7,2_player_1,4_player_1,2_shots_off_target,4_shots_off_target,2_total_wins,4_total_wins,2_player_2,4_player_2,2_total_goals_conceded,4_total_goals_conceded,2_possession,4_possession,2_draws_last_5,4_draws_last_5,2_formation,4_formation,2_fouls,4_fouls,2_total_goals_scored,4_total_goals_scored,2_dangerous_attacks,4_dangerous_attacks,2_avg_goals_last_5,4_avg_goals_last_5,2_goalkeeper_saves,4_goalkeeper_saves,2_player_6,4_player_6,2_player_9,4_player_9,2_player_3_last_5_avg,4_player_3_last_5_avg,2_player_5,4_player_5,2_offsides,4_offsides,2_attacks,4_attacks,2_player_10,4_player_10,2_player_6_last_5_avg,4_player_6_last_5_avg,2_losses_last_5,4_losses_last_5,2_player_10_last_5_avg,4_player_10_last_5_avg,2_player_5_last_5_avg,4_player_5_last_5_avg,2_goals,4_goals,2_player_8_last_5_avg,4_player_8_last_5_avg,2_ranking,4_ranking,2_wins_last_5,4_wins_last_5,2_player_3,4_player_3,2_player_9_last_5_avg,4_player_9_last_5_avg,2_player_1_last_5_avg,4_player_1_last_5_avg,2_player_4,4_player_4,2_player_4_last_5_avg,4_player_4_last_5_avg,2_player_2_last_5_avg,4_player_2_last_5_avg,2_player_0_last_5_avg,4_player_0_last_5_avg,2_goal_chances,4_goal_chances,2_total_points,4_total_points,2_player_7_last_5_avg,4_player_7_last_5_avg,2_shots_on_target,4_shots_on_target,2_player_0,4_player_0,2_player_8,4_player_8,2_total_draws,4_total_draws,2_red_cards,4_red_cards,2_total_losses,4_total_losses,2_player_7,4_player_7
Eredivisie,Heerenveen,Willem II,2.05,3.7,3.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Zwolle,Feyenoord,5.2,4.3,1.62,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Twente,Sittard,1.88,3.82,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,FC Emmen,Venlo,1.99,3.62,3.8,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Heracles,Den Haag,1.7,4.0,5.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Sparta Rotterdam,Ajax,8.5,6.0,1.33,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Waalwijk,Vitesse,4.75,4.2,1.71,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Groningen,PSV,3.35,3.45,2.26,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Venlo,Utrecht,4.1,3.85,1.88,1.0,1.0,6.8,5.8,4.0,4.0,1.0,0.0,5.8,6.6,3.0,5.0,27.0,73.0,0.0,0.0,4 - 3 - 3,4 - 2 - 3 - 1,13.0,10.0,5.0,3.0,34.0,62.0,5.0,3.0,2.0,3.0,6.4,7.4,8.9,6.3,6.6,5.9,7.7,5.7,3.0,1.0,71.0,136.0,8.3,7.2,6.4,7.4,0.0,1.0,8.3,7.2,7.7,5.7,5.0,3.0,6.6,6.6,1.0,9.0,1.0,0.0,6.6,5.9,8.9,6.3,6.8,5.8,6.4,7.3,6.4,7.3,5.8,6.6,6.5,5.4,14.0,15.0,3.0,0.0,7.5,7.2,7.0,5.0,6.5,5.4,6.6,6.6,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,Alkmaar,Zwolle,1.32,5.65,9.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,7.9,8.0,6.0,0.0,1.0,6.2,7.6,2.0,0.0,54.0,46.0,0.0,0.0,4 - 3 - 3,4 - 3 - 3,15.0,11.0,0.0,2.0,43.0,34.0,0.0,2.0,4.0,5.0,6.6,6.9,6.3,7.1,6.3,7.4,6.8,8.0,0.0,1.0,118.0,105.0,6.5,7.1,6.6,6.9,1.0,0.0,6.5,7.1,6.8,8.0,0.0,2.0,7.0,8.3,9.0,1.0,0.0,1.0,6.3,7.4,6.3,7.1,6.6,7.9,6.8,7.5,6.8,7.5,6.2,7.6,6.5,7.8,17.0,13.0,0.0,3.0,6.7,7.8,5.0,6.0,6.5,7.8,7.0,8.3,0.0,0.0,0.0,0.0,1.0,0.0,6.7,7.8
